"n","J","R","rep","AMSE_Random","AMSE_MaxTwin_plus","AMSE_WMaxTwin_plus","diff_Random_minus_MaxTwin_plus","diff_MaxTwin_plus_minus_WMaxTwin_plus","abs_signed_overlap"
60,5,8,1,0.095244694136731,0.0752630076094666,0.0712481405674816,0.0199816865272644,0.00401486704198491,0.0666666666666667
60,5,8,2,0.0771499572721039,0.0664723136835478,0.0571841835325335,0.0106776435885561,0.00928813015101432,0.2
60,5,8,3,0.13957955552638,0.0751253944632693,0.0591363060231095,0.0644541610631108,0.0159890884401598,0.0666666666666667
60,5,8,4,0.074327055725347,0.0631409374858446,0.0573529533741969,0.0111861182395024,0.00578798411164769,0.466666666666667
60,5,8,5,0.083686325551965,0.0790820903914835,0.0636097699556936,0.00460423516048154,0.0154723204357899,0.0666666666666667
60,5,8,6,0.0805544352395313,0.0675359657988528,0.0593368083792955,0.0130184694406785,0.00819915741955729,0.133333333333333
60,5,8,7,0.0598236324973713,0.0580473932666194,0.0540951371103715,0.00177623923075187,0.00395225615624785,0.133333333333333
60,5,8,8,0.0623969185559725,0.0535712730029632,0.0434480749754086,0.00882564555300931,0.0101231980275546,0.2
60,5,8,9,0.0797291210008954,0.0707033807123042,0.0666179991955021,0.00902574028859114,0.00408538151680213,0
60,5,8,10,0.0759696086007118,0.064529566209018,0.0541418336395154,0.0114400423916938,0.0103877325695026,0.0666666666666667
60,5,8,11,0.0771398623752557,0.0616120119604894,0.0581615903448119,0.0155278504147663,0.00345042161567747,0.133333333333333
60,5,8,12,0.106985287927075,0.082426922375276,0.0760997703416389,0.0245583655517995,0.00632715203363707,0.0666666666666667
60,5,8,13,0.0806803589808189,0.0476936454005057,0.0409115329718201,0.0329867135803131,0.00678211242868559,0.133333333333333
60,5,8,14,0.0846654360661481,0.0670071261324345,0.058887342982138,0.0176583099337136,0.00811978315029645,0.2
60,5,8,15,0.0893325401832462,0.0612345386046302,0.0497146729442601,0.028098001578616,0.0115198656603701,0.133333333333333
60,5,8,16,0.0741262982489133,0.0636911167950469,0.0558941324999234,0.0104351814538665,0.00779698429512345,0
60,5,8,17,0.10418500570591,0.0846083110146744,0.0685691270011343,0.0195766946912354,0.0160391840135401,0.2
60,5,8,18,0.129702012692173,0.0892907206060545,0.0776388671897137,0.0404112920861185,0.0116518534163407,0
60,5,8,19,0.0880355428009053,0.0723904851657324,0.069492205284832,0.0156450576351729,0.00289827988090037,0.133333333333333
60,5,8,20,0.133953379565723,0.114611698222922,0.0964688073151342,0.0193416813428003,0.0181428909077882,0.2
60,5,8,21,0.107585283932672,0.053534858370186,0.054948660280186,0.0540504255624857,-0.00141380190999998,0.133333333333333
60,5,8,22,0.112072760314524,0.0790947542700461,0.0780304055285679,0.032978006044478,0.00106434874147814,0.0666666666666667
60,5,8,23,0.0668869502310342,0.0635734322804761,0.060369351464435,0.00331351795055813,0.00320408081604104,0.266666666666667
60,5,8,24,0.0738579120059014,0.0404828235618065,0.03594603307821,0.0333750884440949,0.00453679048359653,0.266666666666667
60,5,8,25,0.09042788495865,0.0523955064941083,0.0424874684622424,0.0380323784645417,0.00990803803186592,0
60,5,8,26,0.132100597021565,0.0891920544648739,0.0850730846901633,0.0429085425566913,0.00411896977471062,0
60,5,8,27,0.0560555610083956,0.0517300909566301,0.038045794383635,0.00432547005176556,0.0136842965729951,0.133333333333333
60,5,8,28,0.0892735149492278,0.0525508057709327,0.0476604860101101,0.0367227091782951,0.00489031976082261,0.133333333333333
60,5,8,29,0.0564159337033769,0.0356061296530778,0.0347625303407557,0.0208098040502991,0.00084359931232212,0.0666666666666667
60,5,8,30,0.096062535507804,0.0525629845875288,0.0426423660881805,0.0434995509202752,0.00992061849934827,0
60,5,8,31,0.135390286282423,0.0978348988879875,0.0912001699325388,0.0375553873944351,0.00663472895544878,0.0666666666666667
60,5,8,32,0.048807747384209,0.0394863918008805,0.0299341310932487,0.00932135558332853,0.0095522607076318,0.133333333333333
60,5,8,33,0.0983592577503719,0.0991214562637036,0.0915706723360716,-0.000762198513331758,0.00755078392763203,0.2
60,5,8,34,0.0718883780179388,0.0442358392859916,0.0371314186142885,0.0276525387319472,0.00710442067170308,0.266666666666667
60,5,8,35,0.0810182228480355,0.0801421134343072,0.0652722469907293,0.000876109413728232,0.014869866443578,0.133333333333333
60,5,8,36,0.108599383545214,0.051598327797673,0.042242433945077,0.0570010557475411,0.009355893852596,0.266666666666667
60,5,8,37,0.0658753890304001,0.0512726084055029,0.0443318899822681,0.0146027806248973,0.00694071842323471,0.133333333333333
60,5,8,38,0.0689286685854767,0.0589592688178732,0.0521188575532263,0.00996939976760353,0.00684041126464691,0.266666666666667
60,5,8,39,0.0778579108579706,0.0425574056445873,0.0366585814252322,0.0353005052133833,0.00589882421935507,0.133333333333333
60,5,8,40,0.0906837021843309,0.0598515224104351,0.0545435881296256,0.0308321797738958,0.00530793428080949,0.133333333333333
60,5,8,41,0.106497548912028,0.0845700976851013,0.0856630246572082,0.0219274512269266,-0.00109292697210683,0.2
